p.value	p.adjust	chi_square_statistic	Gene	n_cond1	n_cond2	n_samples_cond1	n_samples_cond2	n_possible_sites_cond1	n_possible_sites_cond2	p.adjust2
8.99E-52	3.77E-48	229.1821733	SPN	8	148	12	8	600	400	3.98E-45
1.21E-44	2.54E-41	196.4998322	EIF2AK2	19	147	12	8	552	368	2.68E-38
4.36E-41	6.10E-38	180.2085209	GABPB1-AS1	0	110	12	8	672	448	6.42E-35
3.72E-34	3.90E-31	148.4822858	CCAR1	6	103	12	8	612	408	4.10E-28
6.38E-34	5.35E-31	147.4112001	HOOK3	0	89	12	8	480	320	5.62E-28
1.65E-33	1.16E-30	145.5189181	CCDC84	0	88	12	8	480	320	1.21E-27
6.11E-31	3.20E-28	133.7787861	SIK3	20	120	12	8	816	544	3.36E-25
6.03E-31	3.20E-28	133.8043699	POLG2	6	94	12	8	552	368	3.36E-25
2.75E-30	1.28E-27	130.7942708	RB1CC1	7	93	12	8	492	328	1.34E-24
9.26E-30	3.89E-27	128.3816629	ZNF83	0	79	12	8	492	328	4.06E-24
2.14E-29	8.18E-27	126.7152672	RBM5	18	107	12	8	468	312	8.54E-24
8.01E-26	2.80E-23	110.400641	LUC7L	0	70	12	8	588	392	2.92E-20
6.37E-25	2.06E-22	106.2901194	MED13	6	79	12	8	588	392	2.14E-19
1.18E-23	3.55E-21	100.5019331	MATR3	2	67	12	8	456	304	3.69E-18
2.58E-23	7.21E-21	98.9588062	RNF220	270	44	12	8	1596	1064	7.50E-18
2.58E-22	6.36E-20	94.40161666	NFATC2IP	1	62	12	8	492	328	6.61E-17
2.50E-22	6.36E-20	94.45929639	ZNF726	0	54	12	8	192	128	6.61E-17
3.36E-22	7.83E-20	93.8755138	ENOSF1	2	63	12	8	432	288	8.12E-17
3.69E-22	8.15E-20	93.69068593	DAP3	10	76	12	8	408	272	8.44E-17
8.59E-22	1.80E-19	92.0168915	PSMD12	1	58	12	8	300	200	1.87E-16
1.94E-21	3.88E-19	90.40527344	TMEM41B	1	59	12	8	420	280	4.01E-16
3.49E-21	6.67E-19	89.24137194	RPL30	0	49	12	8	144	96	6.89E-16
4.40E-21	8.04E-19	88.78346293	C6orf62	0	53	12	8	240	160	8.29E-16
5.96E-21	1.04E-18	88.18557518	ZNF43	7	65	12	8	264	176	1.07E-15
6.24E-21	1.05E-18	88.0942452	FAM192A	0	55	12	8	360	240	1.08E-15
8.03E-21	1.30E-18	87.59558824	RP11-119K6.6	1	49	12	8	132	88	1.33E-15
1.72E-20	2.68E-18	86.08637394	METTL7A	0	49	12	8	168	112	2.75E-15
2.87E-20	4.30E-18	85.078125	DFFA	19	85	12	8	468	312	4.41E-15
3.73E-20	5.39E-18	84.55964417	SLC20A2	1	55	12	8	360	240	5.53E-15
5.77E-20	8.07E-18	83.69493908	RP11-613M10.9	1	54	12	8	324	216	8.28E-15
6.03E-20	8.16E-18	83.6084398	CTD-2116N17.1	2	56	12	8	336	224	8.36E-15
8.99E-20	1.18E-17	82.82005576	GINS4	0	51	12	8	288	192	1.21E-14
9.70E-20	1.23E-17	82.66923648	PUM1	35	106	12	8	612	408	1.26E-14
1.84E-19	2.27E-17	81.40236538	PSMB2	17	65	12	8	132	88	2.32E-14
2.89E-19	3.46E-17	80.51200565	NUP98	25	93	12	8	708	472	3.53E-14
4.17E-19	4.86E-17	79.78618421	RP11-498C9.15	4	56	12	8	264	176	4.96E-14
6.20E-19	7.04E-17	79.0019334	ZFAND6	0	48	12	8	240	160	7.16E-14
9.89E-19	1.09E-16	78.08054957	APOBEC3F	1	47	12	8	168	112	1.11E-13
1.04E-18	1.12E-16	77.98072504	NT5C2	6	62	12	8	540	360	1.14E-13
1.69E-18	1.77E-16	77.02598889	RAD51-AS1	3	54	12	8	324	216	1.80E-13
1.77E-18	1.81E-16	76.93094992	RBM14-RBM4	0	46	12	8	204	136	1.84E-13
4.41E-18	4.40E-16	75.12918653	KMT2E	2	52	12	8	396	264	4.46E-13
5.26E-18	5.13E-16	74.78123641	ZNF346	0	47	12	8	312	208	5.19E-13
6.66E-18	6.35E-16	74.3147394	CAND1	0	43	12	8	156	104	6.42E-13
7.73E-18	7.21E-16	74.02036512	MARK3	0	47	12	8	348	232	7.28E-13
1.53E-17	1.39E-15	72.679513	NOP58	15	73	12	8	564	376	1.40E-12
2.02E-17	1.81E-15	72.12164751	CSF3R	38	94	12	8	288	192	1.82E-12
2.49E-17	2.17E-15	71.71445639	GDPD1	2	43	12	8	120	80	2.19E-12
2.95E-17	2.53E-15	71.37491488	GP6	0	44	12	8	240	160	2.54E-12
5.07E-17	4.25E-15	70.30960648	CCT8	0	40	12	8	132	88	4.28E-12
5.37E-17	4.42E-15	70.19636665	TXN	0	33	12	8	60	40	4.43E-12
5.71E-17	4.60E-15	70.07582507	COG7	0	41	12	8	156	104	4.62E-12
7.65E-17	6.06E-15	69.4973262	KAT6B	4	51	12	8	288	192	6.07E-12
8.48E-17	6.59E-15	69.29519769	ZNF587	3	50	12	8	348	232	6.59E-12
9.95E-17	7.59E-15	68.97990544	PDS5A	11	64	12	8	468	312	7.59E-12
1.39E-16	1.04E-14	68.31925537	SOAT1	10	57	12	8	204	136	1.04E-11
1.52E-16	1.12E-14	68.15018315	ANAPC5	8	57	12	8	312	208	1.11E-11
2.37E-16	1.71E-14	67.26997425	RAB10	22	79	12	8	552	368	1.71E-11
3.31E-16	2.35E-14	66.61174402	RP11-760H22.2	0	41	12	8	216	144	2.34E-11
6.78E-16	4.74E-14	65.19618056	RP11-1021N1.1	0	40	12	8	204	136	4.72E-11
1.02E-15	6.99E-14	64.39851655	EIF3M	0	39	12	8	180	120	6.95E-11
1.18E-15	8.02E-14	64.09706807	SFT2D1	0	34	12	8	84	56	7.96E-11
