p.value	p.adjust	chi_square_statistic	Gene	n_cond1	n_cond2	n_samples_cond1	n_samples_cond2	n_possible_sites_cond1	n_possible_sites_cond2	p.adjust2
1.60E-20	8.83E-17	86.2364651	S100Z	78	21	12	22	492	902	2.29E-14
3.64E-20	1.01E-16	84.60786691	PSMB2	17	157	12	22	144	264	2.60E-14
2.81E-17	5.18E-14	71.47409234	DFFA	19	197	12	22	876	1606	1.33E-11
5.67E-17	7.02E-14	70.08854236	RNF220	270	246	12	22	2412	4422	1.80E-11
6.35E-17	7.02E-14	69.86573444	TEC	5	143	12	22	696	1276	1.80E-11
1.15E-16	1.06E-13	68.69083003	EIF2AK2	19	189	12	22	672	1232	2.70E-11
6.97E-16	5.51E-13	65.14143364	DCAF16	9	137	12	22	276	506	1.39E-10
3.21E-15	2.22E-12	62.13582542	ARPC2	12	157	12	22	816	1496	5.59E-10
6.47E-14	3.98E-11	56.22176309	FLT3	43	8	12	22	216	396	9.99E-09
4.70E-13	2.60E-10	52.32852309	SRD5A3	9	118	12	22	252	462	6.49E-08
2.15E-12	1.08E-09	49.34237574	HNRNPR	21	162	12	22	648	1188	2.69E-07
3.64E-12	1.68E-09	48.30879039	MDM4	17	146	12	22	528	968	4.16E-07
4.06E-12	1.73E-09	48.09764869	METTL6	7	113	12	22	540	990	4.26E-07
5.93E-12	2.34E-09	47.35300072	ENSA	4	103	12	22	864	1584	5.76E-07
9.12E-12	3.28E-09	46.50903888	RBM5	18	149	12	22	756	1386	8.03E-07
9.48E-12	3.28E-09	46.43382811	SLC35E2	15	137	12	22	552	1012	8.03E-07
1.74E-11	5.66E-09	45.2458991	BMP2K	3	90	12	22	312	572	1.37E-06
2.13E-11	6.54E-09	44.84987728	UBE2K	18	149	12	22	1344	2464	1.58E-06
2.31E-11	6.74E-09	44.68574802	WDR12	8	112	12	22	660	1210	1.62E-06
3.03E-11	8.37E-09	44.15983687	CTSS	7	103	12	22	336	616	2.01E-06
3.73E-11	9.83E-09	43.74988457	RP11-440L14.1	15	131	12	22	468	858	2.35E-06
5.67E-11	1.43E-08	42.93138765	NOP58	15	132	12	22	636	1166	3.39E-06
7.20E-11	1.73E-08	42.46340413	LRCH3	1	77	12	22	264	484	4.11E-06
2.11E-10	4.88E-08	40.35779061	MORN1	6	95	12	22	408	748	1.15E-05
2.23E-10	4.93E-08	40.25445191	EMC1	9	105	12	22	408	748	1.16E-05
3.28E-10	6.98E-08	39.50044285	GNB1	31	178	12	22	1404	2574	1.63E-05
3.60E-10	7.38E-08	39.31691718	ZYG11B	16	121	12	22	276	506	1.72E-05
4.13E-10	8.16E-08	39.05063825	YIPF4	12	114	12	22	492	902	1.89E-05
5.54E-10	1.06E-07	38.47648903	MED28	7	95	12	22	384	704	2.44E-05
6.93E-10	1.28E-07	38.0391937	NICN1	1	72	12	22	360	660	2.94E-05
7.17E-10	1.28E-07	37.97516478	NDUFS1	9	103	12	22	552	1012	2.94E-05
8.60E-10	1.44E-07	37.61938714	SOS1	23	150	12	22	1200	2200	3.29E-05
8.55E-10	1.44E-07	37.63147775	MTF1	5	83	12	22	228	418	3.29E-05
1.06E-09	1.73E-07	37.20860845	YY1AP1	14	120	12	22	852	1562	3.90E-05
1.24E-09	1.90E-07	36.91229169	CSF3R	38	183	12	22	480	880	4.27E-05
1.20E-09	1.90E-07	36.96147727	PMF1	7	95	12	22	636	1166	4.27E-05
1.37E-09	2.04E-07	36.71727204	PHF7	6	81	12	22	156	286	4.55E-05
1.95E-09	2.84E-07	36.01963975	PPP1CB	7	94	12	22	768	1408	6.31E-05
2.57E-09	3.38E-07	35.48570796	IP6K2	33	172	12	22	792	1452	7.48E-05
2.50E-09	3.38E-07	35.53927399	ZNF141	11	105	12	22	516	946	7.48E-05
2.51E-09	3.38E-07	35.53477038	FAM20B	6	84	12	22	252	462	7.48E-05
2.57E-09	3.38E-07	35.48572376	GBP4	8	87	12	22	180	330	7.48E-05
2.64E-09	3.40E-07	35.4298659	SMYD3	7	93	12	22	780	1430	7.48E-05
3.62E-09	4.55E-07	34.81943775	HP1BP3	15	117	12	22	588	1078	9.83E-05
3.97E-09	4.88E-07	34.6401439	CNST	12	109	12	22	912	1672	0.000104854
4.89E-09	5.75E-07	34.23441227	PUM1	35	177	12	22	1116	2046	0.000123085
