p.value	p.adjust	chi_square_statistic	Gene	n_cond1	n_cond2	n_samples_cond1	n_samples_cond2	n_possible_sites_cond1	n_possible_sites_cond2	p.adjust2
2.12E-92	1.31E-88	415.6866616	SPN	7	148	22	8	1078	392	1.51E-85
2.89E-68	8.95E-65	304.852229	GABPB1-AS1	3	110	22	8	1276	464	1.03E-61
5.23E-63	1.08E-59	280.7224484	CCAR1	4	103	22	8	1144	416	1.24E-56
3.37E-55	5.22E-52	244.8963693	HOOK3	3	89	22	8	946	344	5.97E-49
1.64E-54	2.03E-51	241.7414534	CCDC84	3	88	22	8	946	344	2.32E-48
1.01E-52	1.04E-49	233.5407032	POLG2	9	94	22	8	1034	376	1.19E-46
2.82E-47	2.49E-44	208.5708488	ZNF83	4	79	22	8	990	360	2.85E-41
2.08E-46	1.61E-43	204.588033	RB1CC1	16	93	22	8	1034	376	1.84E-40
2.55E-43	1.76E-40	190.435693	SIK3	44	120	22	8	2002	728	2.00E-37
1.28E-39	7.94E-37	173.4862657	MATR3	4	67	22	8	858	312	9.04E-34
4.55E-39	2.56E-36	170.9676518	LUC7L	6	70	22	8	1210	440	2.91E-33
1.44E-37	7.41E-35	164.1045712	PSMD12	1	58	22	8	550	200	8.42E-32
2.35E-37	1.12E-34	163.1252668	ZNF726	0	54	22	8	352	128	1.27E-31
4.27E-37	1.89E-34	161.9389205	ZNF43	7	65	22	8	528	192	2.14E-31
6.82E-37	2.64E-34	161.0066022	CTD-2116N17.1	0	56	22	8	616	224	2.99E-31
6.49E-37	2.64E-34	161.1048762	MED13	16	79	22	8	1254	456	2.99E-31
2.44E-36	8.89E-34	158.4748314	TMEM41B	2	59	22	8	792	288	1.00E-30
4.81E-36	1.65E-33	157.1253484	FAM192A	0	55	22	8	660	240	1.87E-30
5.18E-36	1.69E-33	156.9756155	NUTM2A-AS1	15	75	22	8	858	312	1.91E-30
3.11E-35	9.62E-33	153.4169379	ENOSF1	6	63	22	8	836	304	1.09E-29
3.35E-35	9.87E-33	153.2692654	NFATC2IP	5	62	22	8	946	344	1.11E-29
7.48E-35	2.11E-32	151.670072	RPL30	0	49	22	8	264	96	2.37E-29
2.77E-34	7.48E-32	149.0658482	RP11-119K6.6	1	49	22	8	242	88	8.41E-29
4.01E-34	1.04E-31	148.3314226	METTL7A	0	49	22	8	308	112	1.17E-28
8.12E-34	2.01E-31	146.9328074	GINS4	0	51	22	8	528	192	2.26E-28
1.43E-33	3.40E-31	145.8105911	C6orf62	2	53	22	8	462	168	3.82E-28
8.60E-33	1.97E-30	142.2439153	ANAPC5	5	57	22	8	616	224	2.21E-27
6.42E-32	1.42E-29	138.2520355	SLC20A2	4	55	22	8	748	272	1.59E-26
7.63E-32	1.63E-29	137.9087448	ZNF587	1	50	22	8	594	216	1.82E-26
7.64E-31	1.58E-28	133.3337894	RAD51-AS1	5	54	22	8	594	216	1.77E-25
3.63E-30	7.25E-28	130.2427686	ZFAND6	2	48	22	8	440	160	8.10E-25
7.80E-30	1.51E-27	128.7221754	CAND1	0	43	22	8	286	104	1.69E-24
2.32E-29	4.23E-27	126.560131	GP6	0	44	22	8	440	160	4.71E-24
2.31E-29	4.23E-27	126.565696	APOBEC3F	3	47	22	8	330	120	4.71E-24
